=== [PHASE 2/2] Full experiment start Sun Sep 14 12:58:12 AM UTC 2025 ===
INFO 09-14 00:58:19 [__init__.py:216] Automatically detected platform cuda.
trainable params: 884,736 || all params: 126,124,032 || trainable%: 0.7015
{'loss': 2.5818, 'grad_norm': 4.426285743713379, 'learning_rate': 1.7361186275570952e-05, 'epoch': 0.13}
{'loss': 2.5207, 'grad_norm': 3.4469809532165527, 'learning_rate': 1.733953891113757e-05, 'epoch': 0.13}
{'loss': 2.4814, 'grad_norm': 3.366377830505371, 'learning_rate': 1.731789154670419e-05, 'epoch': 0.13}
{'loss': 2.7406, 'grad_norm': 3.5986239910125732, 'learning_rate': 1.729624418227081e-05, 'epoch': 0.14}
{'loss': 2.6026, 'grad_norm': 3.648805618286133, 'learning_rate': 1.727459681783743e-05, 'epoch': 0.14}
{'loss': 2.6261, 'grad_norm': 4.2415547370910645, 'learning_rate': 1.7252949453404048e-05, 'epoch': 0.14}
{'loss': 2.6654, 'grad_norm': 3.596733331680298, 'learning_rate': 1.7231302088970668e-05, 'epoch': 0.14}
{'loss': 2.6548, 'grad_norm': 4.255870342254639, 'learning_rate': 1.720965472453729e-05, 'epoch': 0.14}
{'loss': 2.696, 'grad_norm': 5.115695953369141, 'learning_rate': 1.718800736010391e-05, 'epoch': 0.14}
{'loss': 2.6973, 'grad_norm': 5.783959865570068, 'learning_rate': 1.716635999567053e-05, 'epoch': 0.14}
{'loss': 2.6893, 'grad_norm': 4.1983537673950195, 'learning_rate': 1.7144712631237146e-05, 'epoch': 0.14}
{'loss': 2.7107, 'grad_norm': 3.67537522315979, 'learning_rate': 1.712306526680377e-05, 'epoch': 0.14}
{'loss': 2.6505, 'grad_norm': 4.575137138366699, 'learning_rate': 1.7101417902370387e-05, 'epoch': 0.15}
{'loss': 2.539, 'grad_norm': 4.286936283111572, 'learning_rate': 1.7079770537937008e-05, 'epoch': 0.15}
{'loss': 2.6769, 'grad_norm': 3.887850761413574, 'learning_rate': 1.705812317350363e-05, 'epoch': 0.15}
{'loss': 2.6639, 'grad_norm': 4.791420936584473, 'learning_rate': 1.703647580907025e-05, 'epoch': 0.15}
{'loss': 2.6112, 'grad_norm': 4.1263298988342285, 'learning_rate': 1.7014828444636866e-05, 'epoch': 0.15}
{'loss': 2.6778, 'grad_norm': 3.6505231857299805, 'learning_rate': 1.6993181080203486e-05, 'epoch': 0.15}
{'loss': 2.6355, 'grad_norm': 4.017683506011963, 'learning_rate': 1.6971533715770107e-05, 'epoch': 0.15}
{'loss': 2.6248, 'grad_norm': 4.3051981925964355, 'learning_rate': 1.6949886351336727e-05, 'epoch': 0.15}
{'loss': 2.7018, 'grad_norm': 4.521683692932129, 'learning_rate': 1.6928238986903348e-05, 'epoch': 0.15}
{'loss': 2.519, 'grad_norm': 4.3198161125183105, 'learning_rate': 1.6906591622469965e-05, 'epoch': 0.15}
{'loss': 2.6004, 'grad_norm': 4.796097755432129, 'learning_rate': 1.6884944258036585e-05, 'epoch': 0.16}
{'loss': 2.589, 'grad_norm': 4.5633463859558105, 'learning_rate': 1.6863296893603206e-05, 'epoch': 0.16}
{'loss': 2.6839, 'grad_norm': 3.796261787414551, 'learning_rate': 1.6841649529169826e-05, 'epoch': 0.16}
{'loss': 2.6246, 'grad_norm': 4.09123420715332, 'learning_rate': 1.6820002164736443e-05, 'epoch': 0.16}
{'loss': 2.64, 'grad_norm': 4.57887601852417, 'learning_rate': 1.6798354800303064e-05, 'epoch': 0.16}
